season,team,talent
2024,Alabama,1018.28
2024,Georgia,1006.89
2024,Ohio State,998.62
2024,Texas,953.95
2024,Clemson,924.63
2024,Oregon,916.71
2024,Texas A&M,914.52
2024,Oklahoma,906.61
2024,LSU,906.19
2024,Notre Dame,905.52
2024,Penn State,895.31
2024,Florida,894.24
2024,Florida State,879.48
2024,Miami,868.15
2024,USC,863.09
2024,Michigan,859.21
2024,Tennessee,858.67
2024,Auburn,833.61
2024,Missouri,807.36
2024,Ole Miss,801.66
2024,South Carolina,798.18
2024,North Carolina,794.99
2024,Nebraska,790.42
2024,Kentucky,788.36
2024,SMU,788.22
2024,Arkansas,779.17
2024,Wisconsin,771.35
2024,TCU,766.5
2024,UCLA,758.87
2024,Arizona State,757.02
2024,Colorado,749.16
2024,UCF,746.3
2024,Utah,745.21
2024,Mississippi State,743.77
2024,Washington,741.11
2024,Louisville,739.28
2024,Purdue,738.93
2024,Texas Tech,732.07
2024,Iowa,723.51
2024,NC State,722.41
2024,Michigan State,721.75
2024,Stanford,719.43
2024,Pittsburgh,713.74
2024,Baylor,709.46
2024,Minnesota,705.22
2024,Georgia Tech,703.0
2024,California,702.38
2024,Syracuse,698.59
2024,Kansas,696.92
2024,Vanderbilt,695.96
2024,Maryland,695.59
2024,Virginia Tech,695.42
2024,Oklahoma State,687.76
2024,West Virginia,684.9
2024,Northwestern,675.78
2024,Arizona,672.7
2024,Indiana,668.92
2024,Boston College,667.91
2024,Rutgers,663.55
2024,Cincinnati,662.34
2024,Virginia,662.28
2024,Tulane,654.07
2024,Illinois,653.75
2024,Kansas State,651.75
2024,Charlotte,648.28
2024,Houston,646.7
2024,UTSA,644.36
2024,Iowa State,642.12
2024,South Florida,641.02
2024,Duke,635.89
2024,Wake Forest,635.45
2024,Memphis,633.44
2024,Oregon State,626.97
2024,East Carolina,611.66
2024,Washington State,610.54
2024,San Diego State,608.95
2024,Boise State,608.26
2024,BYU,602.46
2024,North Texas,595.42
2024,Florida Atlantic,592.16
2024,Marshall,587.22
2024,Massachusetts,585.57
2024,UAB,583.23
2024,App State,575.31
2024,UNLV,575.16
2024,Arkansas State,573.27
2024,Toledo,571.92
2024,Liberty,569.65
2024,Fresno State,568.31
2024,Southern Miss,565.51
2024,Georgia State,564.88
2024,Coastal Carolina,557.61
2024,Tulsa,556.71
2024,South Alabama,554.77
2024,Louisiana,553.39
2024,Western Michigan,547.19
2024,Colorado State,546.04
2024,Utah State,543.56
2024,Texas State,540.17
2024,Rice,538.4
2024,UConn,537.91
2024,Akron,537.82
2024,Louisiana Tech,533.72
2024,Temple,532.46
2024,Georgia Southern,527.99
2024,Nevada,525.22
2024,Western Kentucky,518.88
2024,Hawai'i,513.7
2024,Eastern Michigan,508.73
2024,Miami (OH),505.3
2024,Florida International,504.39
2024,Middle Tennessee,503.43
2024,Troy,499.56
2024,Sam Houston,488.03
2024,Bowling Green,484.51
2024,San José State,480.29
2024,Central Michigan,467.22
2024,New Mexico,464.59
2024,Ball State,464.07
2024,James Madison,459.14
2024,UTEP,455.97
2024,Wyoming,455.45
2024,Ohio,450.55
2024,Northern Illinois,437.2
2024,Kent State,435.3
2024,Buffalo,435.22
2024,Jacksonville State,430.94
2024,Old Dominion,428.91
2024,New Mexico State,370.2
2024,UL Monroe,329.43
2024,Kennesaw State,288.14
2024,Navy,0.0
2024,Air Force,0.0
2024,Army,0.0
